RALT;ROLL;GS;MH;TH;PTCH
-3,5;0,692118049;0;52,50209427;54,05112076;-0,714090961
-3,5;0,681132019;0;53,8808403;55,42986298;-0,725077289
-3,5;0,681132019;0;55,26507568;56,81410217;-0,736061709
-3,5;0,670145988;0;56,64931107;58,19833755;-0,747048038
-3,5;0,670145988;0;58,25875854;59,80778503;-0,747048038
-3,5;0,659160018;0;59,63750076;61,18652725;-0,747048038
-3,5;0,659160018;0;61,01075363;62,55978012;-0,758034366
-3,5;0,648174047;0;62,38400269;63,93302917;-0,780007022
-3,5;0,626201987;0;64,00993347;65,55895996;-0,780007022
-3,5;0,615216017;0;65,4161377;66,96516418;-0,780007022
-3,5;0,604230046;0;66,82234955;68,37137604;-0,780007022
-3,5;0,593244016;0;68,21756744;69,7720871;-0,79099335
-3,5;0,593244016;0;69,81603241;71,3650589;-0,79099335
-3,5;0,582257986;0;71,12336731;72,6723938;-0,801977771
-3,5;0,582257986;0;72,38126373;73,93578339;-0,801977771
-3,5;0,582257986;0;73,59521484;75,14424133;-0,801977771
-3,5;0,571272016;0;74,95748138;76,50650787;-0,812964099
-3,5;0,560286045;0;76,08354187;77,63806152;-0,823950427
-3,5;0,549300015;0;77,176651;78,72567749;-0,834936755
-3,5;0,538313985;0;78,22032166;79,76934814;-0,834936755
-3,375;0,516342044;0;79,40680695;80,9613266;-0,845923083
-3,375;0,494370013;0;80,42850494;81,97753143;-0,845923083
-3,5;0,494370013;0;81,45020294;82,99922943;-0,856909411
-3,375;0,483384013;0;82,44993591;84,00444794;-0,867893832
-3,375;0,472398013;0;83,58698273;85,13600922;-0,87888016
-3,375;0,461412013;0;84,54276276;86,09178925;-0,889866489
-3,375;0,461412013;0;85,48207092;87,03109741;-0,900852817
-3,5;0,450426012;0;86,40489197;88,11321259;-0,900852817
-3,375;0,450426012;0;87,47053528;89,01956177;-0,911839145
-3,375;0,450426012;0;88,34941101;89,90393066;-0,911839145
-3,375;0,461412013;0;89,20082855;90,75534821;-0,911839145
-3,375;0,461412013;0;90,17308807;91,72211456;-0,900852817
-3,375;0,461412013;0;90,99154663;92,54057312;-0,900852817
-3,375;0,450426012;0;91,7770462;93,32607269;-0,900852817
-3,375;0,439440012;0;92,53507996;94,08410645;-0,911839145
-3,375;0,428454012;0;93,39199066;94,94101715;-0,911839145
-3,375;0,428454012;0;94,11157227;95,66609192;-0,911839145
-3,375;0,417468011;0;94,81467438;96,36370087;-0,922825473
-3,375;0,406482011;0;95,4903183;97,03933716;-0,922825473
-3,375;0,395496011;0;96,25933838;97,80835724;-0,911839145
-3,25;0,38451001;0;96,90201569;98,45104218;-0,911839145
-3,25;0,38451001;0;97,5172348;99,06626129;-0,911839145
-3,25;0,38451001;0;98,10498047;99,65400696;-0,900852817
-3,375;0,38451001;0;98,76963806;100,3186646;-0,900852817
-3,375;0,38451001;0;99,32991791;100,8844376;-0,900852817
-3,25;0,38451001;0;99,88471222;101,4337387;-0,900852817
-3,25;0,37352401;0;100,4010544;101,9500809;-0,900852817
-3,375;0,36253801;0;100,9558487;102,5048752;-0,900852817
-3,375;0,35155201;0;101,4117661;102,9607925;-0,889866489
-3,25;0,340566009;0;101,867691;103,4222031;-0,889866489
-3,25;0,329580009;0;102,3126221;103,8616486;-0,889866489
-3,25;0,329580009;0;102,7795258;104,3285522;-0,889866489
-3,375;0,329580009;0;103,1640396;104,7130585;-0,889866489
-3,375;0,340566009;0;103,5485458;105,1030655;-0,87888016
-3,375;0,340566009;0;103,9440384;105,498558;-0,87888016
-3,375;0,340566009;0;104,3999634;105,9489899;-0,87888016
-3,375;0,329580009;0;104,7624969;106,3115234;-0,87888016
-3,375;0,318594009;0;105,1250381;106,6740646;-0,87888016
-3,375;0,307608008;0;105,4875717;107,0365982;-0,87888016
-3,375;0,285636008;0;105,8995514;107,4485779;-0,87888016
-3,375;0,274650007;0;106,2346191;107,7891388;-0,87888016
-3,375;0,274650007;0;106,5587082;108,1132278;-0,87888016
-3,375;0,285636008;0;106,8827972;108,4318237;-0,889866489
-3,375;0,296622008;0;107,2508316;108,8053436;-0,889866489
-3,375;0,296622008;0;107,5639267;109,1129532;-0,87888016
-3,375;0,296622008;0;107,8605499;109,4095764;-0,867893832
-3,375;0,296622008;0;108,1406937;109,6897202;-0,867893832
-3,375;0,274650007;0;108,4592896;110,008316;-0,87888016
-3,25;0,263664007;0;108,7174606;110,2664871;-0,87888016
-3,375;0,241692007;0;108,9701385;110,519165;-0,867893832
-3,375;0,241692007;0;109,2173233;110,8102951;-0,856909411
